ScannerEventID,OpportunityID,Symbol,ScanTimestamp,Provider,ScannerName,SignalType,ScannerStatus,ScannerValue,SourceEventID
SCN-OPP-20260920-001,OPP-20260920-001,TCS,2026-09-20 23:33:44,Chartink,120-Day High Breakout,BREAKOUT,ACTIVE,1,SRC-OPP-20260920-001
SCN-OPP-20260921-001,OPP-20260921-001,RELIANCE,2026-09-21 20:42:29,Chartink,Volume Breakout 20D,BREAKOUT,ACTIVE,1,SRC-20260921-204229-RELIANCE
SCN-OPP-20260921-002,OPP-20260921-002,INFY,2026-09-21 21:33:29,Chartink,Volume Breakout 20D,BREAKOUT,ACTIVE,1,SRC-20260921-213329-INFY
SCN-OPP-20260921-003,OPP-20260921-003,WIPRO,2026-09-21 21:38:23,Chartink,Volume Breakout 20D,BREAKOUT,ACTIVE,1,SRC-20260921-213823-WIPRO
SCN-OPP-20260921-004,OPP-20260921-004,TATASTEEL,2026-09-21 21:41:09,Chartink,120-Day High Breakout,BREAKOUT,ACTIVE,1,SRC-20260921-214109-TATASTEEL
SCN-OPP-20260921-005,OPP-20260921-005,SBIN,2026-09-21 21:53:42,Chartink,Volume Breakout 20D,BREAKOUT,ACTIVE,1,SRC-20260921-215342-SBIN
